Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category",Post subtype,CTA,Reminder
2026/05/25 07:00,"I've been working on something for a long time. I want to tell you about it.

It's called Moss & Mail.

Every month, I write you a letter. By hand, on beautiful stationery, sealed with wax. I tuck in seeds for herbs or flowers. A recipe card. Art from a collaborating artist. A tea bag. A photo from the mountains near my home. A nature prompt. A Spotify playlist. A postcard with a stamp already on it — so you can send it to someone you love.

And a handwritten letter from me about what I'm reading, what I'm growing, what I'm struggling with, what I'm winning at.

It's a monthly letter subscription club. For people who still believe in the magic of opening a real envelope.

Early access list is open. Link in bio. Your name goes on the list first.

#mossandmail #snailmail #lettersubscription",,SHORT UNBOXING VIDEO — ADD WHEN COMPLETE,,,,"Moss and Mail monthly subscription envelope being opened with handwritten letter seeds recipe card and wax seal — handwritten letter subscription snail mail — Moss & Mail",,Photo,,
2026/05/29 07:00,"My wish for you today: that something arrives in your mailbox that makes you stop.

Not a bill. Not a catalog. A letter. An actual letter, from a real person, with seeds tucked inside and wax on the seal and handwriting that you recognize.

That's what I'm building with Moss & Mail. That feeling. Every month.

Early access list is in my bio. Your spot is waiting.

#mossandmail #snailmail #letterclub",,My wish for you today final.MP4,,,,"Woman speaking about wish for real mail to arrive with seeds and wax seal — Moss and Mail snail mail letter subscription — Moss & Mail",,Reel,,
2026/06/01 07:00,"There's a kind of beauty that doesn't ask for anything from you. It just exists — in the moss on a stone, the light on the water, the mountains going quiet at the end of the day.

That's the world I'm trying to put inside an envelope. Every month, a piece of it arrives at your door.

Moss & Mail. Monthly letters for slow living people. Link in bio.

#mossandmail #slowliving #naturelover",,Pure Imagination .mov,,,,"Utah mountain landscape moss on stone and still water nature beauty — slow living nature letter subscription Moss and Mail — Moss & Mail",,Reel,,
2026/06/03 07:00,"""The business of life is the acquisition of memories."" — Carson, Downton Abbey

I think about what I want to remember. Not accomplish — remember. And the things I remember most are the slowest ones. The long mornings. The letters I kept. The tea that was still hot.

Moss & Mail is my way of helping someone else collect that kind of memory. Something to hold. Something to keep. Something that arrived, was opened, and mattered.

#mossandmail #slowliving #downtonabbey",,Living.MP4,,,,"Slow living footage of quiet intentional moments and memories — Moss and Mail letter subscription slow living — Moss & Mail",,Reel,,
2026/06/05 07:00,"What makes you happy? I asked this early on, and the answers in my comments stopped me. So many of you said: real mail. Something hand-addressed. A letter that was meant for you.

That's what I'm building. The thing you said you missed.

Moss & Mail opens next week. Link in bio to get on the early access list before subscriptions go live.

#mossandmail #snailmail #earlyaccess",,Wha makes you happy? Final.mp4,,,,"Woman speaking about real mail and handwritten letters people said they missed — Moss and Mail snail mail early access — Moss & Mail",,Reel,,
2026/06/08 07:00,"Today is the day.

Moss & Mail subscriptions are now open.

Every month, a letter arrives in your mailbox — handwritten by me, sealed with wax. Inside: seeds for herbs or flowers. A recipe card. Original art. A tea bag. A photo from the mountains. A Spotify playlist QR code. A nature prompt. A postcard with a stamp already on it — for you to send to someone you love.

And a letter from me about what I'm reading, what I'm struggling with, what I'm winning at, what I'm growing.

One letter, once a month, through the actual mail.

The link is in my bio. Your first letter is almost ready.

#mossandmail #subscriptionsopen #snailmail",,LAUNCH DAY VIDEO — FILM OR USE BEST AVAILABLE FOOTAGE,,,,"Moss and Mail launch day subscriptions now open handwritten letter subscription club — Moss and Mail subscriptions open snail mail — Moss & Mail",,Photo,,
2026/06/10 07:00,"This is the life Moss & Mail came from. Slow mornings. Making things by hand. The belief that beauty is worth tending.

The first envelope goes out to founding subscribers this month. Subscriptions are still open — link in bio.

#mossandmail #slowliving #foundingsubscriber",,Matcha mornings FINAL.mp4,,,,"Slow matcha morning that inspired Moss and Mail founding subscriber first envelope — Moss and Mail slow living founding subscriber — Moss & Mail",,Reel,,
2026/06/12 07:00,"The first letters are being written.

I'm sitting at my desk with good paper and a good pen and I'm thinking about who will hold this. Who will open this envelope and find seeds tucked in the corner and smell whatever this month's scent is and read something I wrote by hand.

That's what I get to do every month now.

Moss & Mail is open. Link in bio. If you've been thinking about it — this is the nudge.

#mossandmail #snailmail #letterwriting",,REVIEW Video.mp4 OR film closing video,,,,"Woman writing first handwritten letters at desk with seeds and wax seal for Moss and Mail subscribers — Moss and Mail letter writing snail mail — Moss & Mail",,Reel,,
"2026/05/14 08:00","We poured everything into it. Three years, every penny, every ounce of effort.
And it hurt deeply to let it go.
Part 2 on Saturday.
#slowliving #walnuthill #historichome #lifeupdate #intentionalmotherhood #mossandmail","","Walnut Hill Part 1 (TikTok Video).mp4","","","Kayli talking to camera about selling their 1807 Ohio home — slow living life update intentional motherhood — Moss & Mail","📘 FACEBOOK TOO","","Reel","",""
"2026/05/16 09:00","The beginning was an end. The end of trying to be something they weren't built for.

What they really wanted was mountains close. Community. The slow pace that only comes from living small and on purpose.

A lot of sacrifice. A lot of tears. Blood, even.

And now she can look out her window at mountains. And sit in a mountain stream with her kids.

Part 3 tomorrow.
#walnuthill #slowliving #lifeupdate #intentionalmotherhood #mountainliving #mossandmail","","Walnut Hill Part 2  (TikTok Video).mp4","","","Kayli talking about leaving Walnut Hill and choosing mountains and community — slow living life update intentional motherhood — Moss & Mail","","","Reel","",""
"2026/05/17 09:00","She changed my life.

As a mom, being outside is how she refills. It started with a podcast — 1,000 Hours Outside — and then it was a friendship she never saw coming.

When that friend moved away, it hurt. But before she left, she introduced her to something.

An outdoor adventure school. Five hours in nature. All the parents, gathered together.

And what they found there...

Part 4 tomorrow.
#walnuthill #slowliving #1000hoursoutside #naturemom #intentionalmotherhood #mossandmail","","walnut-hill-part3 (TikTok Video).mp4","","","Kayli talking about the friend who changed her life and the outdoor adventure school — 1000 hours outside slow living intentional motherhood — Moss & Mail","📘 FACEBOOK TOO","","Reel","",""
"2026/05/18 08:00","What they found there — standing in that mountain school, surrounded by parents and kids just figuring it out together — was a gap.

A gap in knowledge. A gap in confidence. A gap in community for mamas who want to get outside with their kids and have no idea where to start.

She was there not that long ago. And now she wants to help fill it. She'll share as she learns.

Welcome. She is so glad you're here.
Letters open June 8 → mossandmail.com
#slowliving #intentionalmotherhood #1000hoursoutside #charlottemason #naturemom #mossandmail #outdoorkids","","Walnut Hill Part4 (TikTok Video).mp4","","","Kayli talking about the gap in community for mamas getting outside with kids and her mission to help fill it — intentional motherhood slow living 1000 hours outside — Moss & Mail","📘 FACEBOOK TOO","","Reel","",""
"2026/05/21 08:00","My life lately — and I wouldn't have it any other way 🌿
Garden. Falls. Mountains. Leaves. All of it, all at once.
mossandmail.com
#slowliving #mylifelately #intentionalmotherhood #naturemom #charlottemason #1000hoursoutside #mossandmail","","My life lately montage mp4.mp4","","","Montage of garden harvest, waterfall hike, and gathering leaves with children — slow living intentional motherhood nature — Moss & Mail","📘 FACEBOOK TOO when FB is fixed","","Reel","",""
"2026/05/24 09:00","Does anyone else feel THRILLED when they see the new spring buds? 🌿
There is something about that first little bit of green that makes everything feel possible again. Spring always keeps its promises.
mossandmail.com
#slowliving #springtime #naturemom #intentionalmotherhood #charlottemason #1000hoursoutside #mossandmail","","Spring shoot.MP4","","","Close up of spring buds emerging on a branch — slow living nature intentional motherhood — Moss & Mail","","","Reel","",""
"2026/05/26 08:00","Just a girl who wants to live in a yurt and breathe clean air 🌿
Tell me I'm not alone.
mossandmail.com
#slowliving #yurtlife #mountainliving #intentionalliving #simplelife #mossandmail","","I just wanna live in a yurt.MP4","","","Kayli talking to camera about wanting to live simply in a yurt in the mountains — slow living intentional living — Moss & Mail","📘 FACEBOOK TOO when FB is fixed","","Reel","",""
"2026/05/27 08:00","Stop. Just listen. 🌊
This is the sound of water trickling over a beaver dam deep in the Utah mountains. We stood here for a long time and didn't want to leave.
mossandmail.com
#slowliving #naturelover #1000hoursoutside #naturemom #watersounds #mountainliving #mossandmail","","listen-looped-instagram.mp4","","","Looped video of water trickling over a beaver dam in Utah mountains — slow living nature sounds — Moss & Mail","","","Reel","",""
"2026/05/28 08:00","When the store is out of your usual thing and you accidentally discover something you love even MORE 😂🍵
Has this ever happened to you?
mossandmail.com
#slowmorning #matcha #slowliving #intentionalliving #matchalover #slowmorningroutine #mossandmail","","I love it even more FINAL.MP4","","","Kayli reacting with delight to a new matcha sweetener she loves even more than her usual — slow morning matcha ritual — Moss & Mail","","","Reel","",""
"2026/05/30 09:00","This one is for every mama showing up exhausted and hanging by a thread. Cheers, mama 🍵
Send this to a mom who needs a matcha and a hug today.
A handwritten letter lands in her mailbox every month. mossandmail.com
#intentionalmotherhood #slowliving #slowlivingmom #slowmom #momlife #handwrittenlettersubscription #snailmailsubscription #mossandmail","","(post 1) This is for the mammas.MP4","","","Kayli talking to camera about showing up through hard days as a mom — slow living intentional motherhood — monthly handwritten letter subscription Moss & Mail Utah","📘 FACEBOOK TOO when FB is fixed","","Reel","",""
"2026/05/31 09:00","We were finally patient enough to grow radishes in our garden! The only thing that made them better was tiny, dimpled hands slowly pulling them out of the dirt.
This is the kind of slow that sticks with you. 🌿 mossandmail.com
#slowliving #gardenlife #intentionalmotherhood #charlottemason #charlottemasonhomeschool #slowlivingmom #cottagecorelife #intentionalhome #mossandmail","","(post 2) Radish Harvest.MP4","","","Children pulling fresh radishes from garden and eating them — Charlotte Mason nature study slow living intentional home — Moss & Mail handwritten letter subscription","","","Reel","",""
"2026/06/02 08:00","Mustard greens from our garden, poppyseed sourdough bread, & a soft yolk served on my late grandmother's china.
Send this to someone who still cooks from scratch.
Slow recipes like this one go in the letters. mossandmail.com
#slowrecipe #slowliving #intentionalmotherhood #slowmorning #cottagecorerecipe #slowmorningroutine #cookedfromscratch #intentionalliving #mossandmail","","(post 3) Lunch.MP4","","","Avocado toast with soft yolk egg served on vintage grandmother's china — slow morning recipe from scratch cottage core slow living — Moss & Mail","⚠️ CONFIRM with Kayli: caption mentions mustard greens/poppyseed sourdough — verify this matches the correct video before uploading","","Reel","",""
"2026/06/04 08:00","Iced Rose Collagen Matcha Latte 🌹🍵
Drop a 🌹 if you want the full recipe.
mossandmail.com
#slowmorning #matcha #slowliving #intentionalliving #mossandmail","","(post 4) Matcha.MP4","","","Pouring milk into matcha and sprinkling dried rose petals — slow morning matcha ritual — Moss & Mail","","","Reel","",""
"2026/06/06 09:00","Our first garden harvest of 2026! Strawberries, radishes, and mustard leaves. So grateful.
This is the kind of slow that sticks with you. 🌿 mossandmail.com
#slowliving #intentionalmotherhood #gardenlife #charlottemason #mossandmail","","1.png|2.png|3.png|4.png|5.png","","","Garden harvest of radishes and strawberries on grandmother's china handed to children one piece at a time — slow living intentional home — Moss & Mail","","","Photo","",""
"2026/06/07 09:00","I learned to make toast in a cast iron skillet from a podcast and I've never gone back…the slow way wins. I think slowly cooking it IN the fat makes all the difference.
mossandmail.com
#slowliving #slowrecipe #homemadebread #intentionalmotherhood #mossandmail","","(post 6) Bread.MP4","","","Homemade bread sliced and toasted in a cast iron skillet then served on grandmother's china — slow recipe slow living — Moss & Mail","","","Reel","",""
